1,STATE,STATE ABBREVIATION,DISTRICT,FEC ID#,INCUMBENT INDICATOR (I),CANDIDATE NAME (First),CANDIDATE NAME (Last),"CANDIDATE NAME (Last, First)",TOTAL VOTES,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL ,GENERAL %,"COMBINED GE PARTY TOTALS (CT, NY, SC)","COMBINED % (CT, NY, SC)",FOOTNOTES,
1286,Georgia,GA,2,H0GA02217,,Mike,Keown,"Keown, Mike",,REP ,23945,80.84%,,,81673,48.56%,,,,
1287,Georgia,GA,2,H0GA02241,,Rick,Allen,"Allen, Rick",,REP ,3283,11.08%,,,,,,,,
1288,Georgia,GA,2,H8GA92053,,Lee,Ferrell,"Ferrell, Lee",,REP ,2393,8.08%,,,,,,,,
1292,Georgia,GA,3,H4GA08067,(I),Lynn,Westmoreland,"Westmoreland, Lynn",,REP ,63787,100.00%,,,168304,69.48%,,,,
1294,Georgia,GA,3,H0GA03066,,Frank,Saunders,"Saunders, Frank",,DEM,18676,100.00%,,,73932,30.52%,,,,
1296,Georgia,GA,3,n/a,,Jagdish,Agrawal,"Agrawal, Jagdish",,W,,,,,3,0.00%,,,,
1299,Georgia,GA,4,H6GA04129,(I),"Hank, Jr.",Johnson,"Johnson, Hank, Jr.",,DEM,28095,55.18%,,,131760,74.67%,,,,
1300,Georgia,GA,4,H0GA04080,,Vernon,Jones,"Jones, Vernon",,DEM,13407,26.33%,,,,,,,,
1301,Georgia,GA,4,H4GA04074,,Connie,Stokes,"Stokes, Connie",,DEM,9411,18.48%,,,,,,,,
1303,Georgia,GA,4,H0GA04072,,"Lisbeth ""Liz""",Carter,"Carter, Lisbeth ""Liz""",,REP ,9549,54.75%,,,44707,25.33%,,,,
1304,Georgia,GA,4,H0GA04064,,Larry,Gause,"Gause, Larry",,REP ,4455,25.54%,,,,,,,,
1305,Georgia,GA,4,H0GA04106,,Victor,Armendariz,"Armendariz, Victor",,REP ,1741,9.98%,,,,,,,,
1306,Georgia,GA,4,H0GA04098,,Cory,Ruth,"Ruth, Cory",,REP ,1697,9.73%,,,,,,,,
1310,Georgia,GA,5,H6GA05217,(I),John,Lewis,"Lewis, John",,DEM,44379,100.00%,,,130782,73.72%,,,,
1312,Georgia,GA,5,H0GA05210,,Fenn,Little,"Little, Fenn",,REP ,8758,59.60%,,,46622,26.28%,,,,
1313,Georgia,GA,5,H0GA05236,,Kelly,Nguyen,"Nguyen, Kelly",,REP ,5937,40.40%,,,,,,,,
1317,Georgia,GA,6,H4GA06087,(I),Tom,Price,"Price, Tom",,REP ,70049,100.00%,,,198100,99.91%,,,,
1319,Georgia,GA,6,n/a,,Sean,Greenberg,"Greenberg, Sean",,W,,,,,188,0.09%,,,,
1322,Georgia,GA,7,H0GA07133,,Rob,Woodall,"Woodall, Rob",,REP ,27634,36.29%,39987,55.99%,160898,67.07%,,,,
1323,Georgia,GA,7,H0GA07125,,Jody,Hice,"Hice, Jody",,REP ,20034,26.31%,31426,44.01%,,,,,,
1324,Georgia,GA,7,H2GA11123,,Clay,Cox,"Cox, Clay",,REP ,15249,20.03%,,,,,,,,
1325,Georgia,GA,7,H0GA07117,,Jef,Fincher,"Fincher, Jef",,REP ,4608,6.05%,,,,,,,,
1326,Georgia,GA,7,H0GA07174 ,,Tom,Kirby,"Kirby, Tom",,REP ,3052,4.01%,,,,,,,,
1327,Georgia,GA,7,H0GA07158,,Chuck,Efstration,"Efstration, Chuck",,REP ,2837,3.73%,,,,,,,,
1328,Georgia,GA,7,H0GA07182,,Tom,Parrott,"Parrott, Tom",,REP ,1648,2.16%,,,,,,,,
1329,Georgia,GA,7,H0GA07166 ,,Ronnie,Grist,"Grist, Ronnie",,REP ,1083,1.42%,,,,,,,,
1331,Georgia,GA,7,H8GA07136,,Doug,Heckman,"Heckman, Doug",,DEM,15130,100.00%,,,78996,32.93%,,,,
1335,Georgia,GA,8,H0GA08099,,Austin,Scott,"Scott, Austin",,REP ,22191,52.36%,,,102770,52.70%,,,,
1336,Georgia,GA,8,H0GA08040,,Ken,DeLoach,"DeLoach, Ken",,REP ,13228,31.21%,,,,,,,,
1337,Georgia,GA,8,H0GA08081,,Diane,Vann,"Vann, Diane",,REP ,6959,16.42%,,,,,,,,
1339,Georgia,GA,8,H0GA08032,(I),Jim,Marshall,"Marshall, Jim",,DEM,28819,100.00%,,,92250,47.30%,,,,
1343,Georgia,GA,9,H0GA09030,(I),Tom,Graves,"Graves, Tom",,REP ,38851,49.47%,41878,55.21%,173512,100.00%,,,,
1344,Georgia,GA,9,H0GA09089,,Lee,Hawkins,"Hawkins, Lee",,REP ,20957,26.69%,33975,44.79%,,,,,,
1345,Georgia,GA,9,H0GA09097,,Steve,Tarvin,"Tarvin, Steve",,REP ,11529,14.68%,,,,,,,,
1346,Georgia,GA,9,H0GA10228,,"Chris, M.D.",Cates,"Cates, Chris, M.D.",,REP ,5051,6.43%,,,,,,,,
1347,Georgia,GA,9,H0GA09147,,Bobby,Reese,"Reese, Bobby",,REP ,1362,1.73%,,,,,,,,
1348,Georgia,GA,9,H0GA09121,,"Bert, M.D.",Loftman,"Loftman, Bert, M.D.",,REP ,782,1.00%,,,,,,,,
1352,Georgia,GA,10,H8GA10244,(I),Paul,Broun,"Broun, Paul",,REP ,56653,100.00%,,,138062,67.36%,,,,
1354,Georgia,GA,10,H0GA10244,,Russell,Edwards,"Edwards, Russell",,DEM,17075,100.00%,,,66905,32.64%,,,,
1358,Georgia,GA,11,H2GA11149,(I),Phil,Gingrey,"Gingrey, Phil",,REP ,58447,100.00%,,,163515,100.00%,,,,
1362,Georgia,GA,12,H4GA12010,(I),John,Barrow,"Barrow, John",,DEM,19505,57.87%,,,92459,56.59%,,,,
1363,Georgia,GA,12,H8GA12037,,Regina D.,Thomas,"Thomas, Regina D.",,DEM,14201,42.13%,,,,,,,,
1365,Georgia,GA,12,H8GA12029,,Raymond,Mckinney,"Mckinney, Raymond",,REP ,11709,42.61%,14256,62.04%,70938,43.41%,,,,
1366,Georgia,GA,12,HOGA12026,,Carl,Smith,"Smith, Carl",,REP ,7677,27.94%,8724,37.96%,,,,,,
1367,Georgia,GA,12,H0GA12034,,Jeanne,Seaver,"Seaver, Jeanne",,REP ,5040,18.34%,,,,,,,,
1368,Georgia,GA,12,H0GA12042,,Michael,Horner,"Horner, Michael",,REP,3051,11.10%,,,,,,,,
1372,Georgia,GA,13,H2GA13012,(I),David,Scott,"Scott, David",,DEM,34374,76.12%,,,140294,69.43%,,,,
1373,Georgia,GA,13,H0GA13081,,Mike,Murphy,"Murphy, Mike",,DEM,7556,16.73%,,,,,,,,
1374,Georgia,GA,13,H0GA13024,,Michael,Frisbee,"Frisbee, Michael",,DEM,3229,7.15%,,,,,,,,
1376,Georgia,GA,13,H0GA13032,,Mike,Crane,"Crane, Mike",,REP ,7234,29.41%,15286,,61771,30.57%,,,,
1377,Georgia,GA,13,H6GA13013,,Deborah,Honeycutt,"Honeycutt, Deborah",,REP ,6538,26.58%,7349,,,,,,,
1378,Georgia,GA,13,H0GA13099,,"""Chip""",Flanegan,"Flanegan, ""Chip""",,REP ,4137,16.82%,,,,,,,,
1379,Georgia,GA,13,H0GA13065,,Dave,Orr,"Orr, Dave",,REP ,3113,12.65%,,,,,,,,
1380,Georgia,GA,13,H0GA13073,,Hank R.,Dudek,"Dudek, Hank R.",,REP ,2322,9.44%,,,,,,,,
1381,Georgia,GA,13,H0GA13040,,Rupert G.,Parchment,"Parchment, Rupert G.",,REP ,1257,5.11%,,,,,,,,
1397,Guam,GU,0,H2GU00033,(I),Madeleine Z.,Bordallo,"Bordallo, Madeleine Z.",,DEM,7633,98.77%,,,35919,95.99%,,,,
1398,Guam,GU,0,n/a,,,Scattered,Scattered,,W(DEM,95,1.23%,,,,,,,,
1400,Guam,GU,0,n/a,,,Scattered,Scattered,,W(REP),710,100.00%,,,,,,,,
1402,Guam,GU,0,n/a,,,Scattered,Scattered,,W,,,,,1502,4.01%,,,,
1405,Guam,GU,0,n/a,,,,,,,,,,,,,,,,
1407,Hawaii,HI,1,H2HI02110,,Colleen ,Hanabusa,"Hanabusa, Colleen ",,DEM,85732,78.94%,,,94140,53.23%,,,,
1408,Hawaii,HI,1,H0HI01165,,Rafael (Del),Del Castillo,"Del Castillo, Rafael (Del)",,DEM,22874,21.06%,,,,,,,,
1410,Hawaii,HI,1,H0HI01157,(I),Charles ,Djou,"Djou, Charles ",,REP,21622,97.41%,,,82723,46.77%,,,,
1411,Hawaii,HI,1,H8HI01176,,C. Kaui Jochanan,Amesterdam,"Amesterdam, C. Kaui Jochanan",,REP,397,1.79%,,,,,,,,
1412,Hawaii,HI,1,H0HI01223,,John (Raghu),Giuffre,"Giuffre, John (Raghu)",,REP,177,0.80%,,,,,,,,
1416,Hawaii,HI,2,H6HI02251,(I),Mazie,Hirono,"Hirono, Mazie",,DEM,88803,100.00%,,,132290,72.19%,,,,
1418,Hawaii,HI,2,H0HI02106,,John W.,Willoughby,"Willoughby, John W.",,REP,8020,47.20%,,,46404,25.32%,,,,
1419,Hawaii,HI,2,H0HI02114,,Ramsay Puanani,Wharton,"Wharton, Ramsay Puanani",,REP,7809,45.96%,,,,,,,,
1420,Hawaii,HI,2,H0HI02122,,Antonio,Gimbernat,"Gimbernat, Antonio",,REP,1163,6.84%,,,,,,,,
1422,Hawaii,HI,2,H0HI02148 ,,Pat,Brock,"Brock, Pat",,LIB,146,100.00%,,,3254,1.78%,,,,
1424,Hawaii,HI,2,H0HI02114,,Andrew Vsevolod ,Von Sonn,"Von Sonn, Andrew Vsevolod ",,N,313,100.00%,,,1310,0.71%,,,,
1444,Idaho,ID,1,H0ID01253,,Raul R.,Labrador,"Labrador, Raul R.",,REP,38711,47.62%,,,126231,51.02%,,,,
1445,Idaho,ID,1,H0ID01238,,Vaughn,Ward,"Ward, Vaughn",,REP,31582,38.85%,,,,,,,,
1446,Idaho,ID,1,H0ID01261,,Michael L.,Chadwick,"Chadwick, Michael L.",,REP,5356,6.59%,,,,,,,,
1447,Idaho,ID,1,H0ID01170,,Harley D.,Brown,"Brown, Harley D.",,REP,3168,3.90%,,,,,,,,
1448,Idaho,ID,1,H0ID01287,,Allan M.,Salzberg,"Salzberg, Allan M.",,REP,2471,3.04%,,,,,,,,
1450,Idaho,ID,1,H8ID01090,(I),Walt,Minnick,"Minnick, Walt",,DEM,11407,100.00%,,,102135,41.28%,,,,
1452,Idaho,ID,1,H6ID01201,,Dave ,Olson,"Olson, Dave ",,IND,,,,,14365,5.81%,,,,
1453,Idaho,ID,1,H0ID01279,,Mike ,Washburn,"Washburn, Mike ",,LIB,,,,,4696,1.90%,,,,
1456,Idaho,ID,2,H8ID02064,(I),Mike,Simpson,"Simpson, Mike",,REP,45148,58.29%,,,137468,68.83%,,,,
1457,Idaho,ID,2,H0ID02061,,M.C. Chick,Heileson,"Heileson, M.C. Chick",,REP,18644,24.07%,,,,,,,,
1458,Idaho,ID,2,H0ID02079,,Russell J.,Mathews,"Mathews, Russell J.",,REP,7452,9.62%,,,,,,,,
1459,Idaho,ID,2,H0ID02095,,Katherine,Burton,"Burton, Katherine",,REP,6214,8.02%,,,,,,,,
1461,Idaho,ID,2,H0ID02087,,Mike,Crawford,"Crawford, Mike",,DEM,13291,100.00%,,,48749,24.41%,,,,
1463,Idaho,ID,2,H0ID02103,,Brian ,Schad,"Schad, Brian ",,IND,,,,,13500,6.76%,,,,
1478,Illinois,IL,1,H2IL01042,(I),Bobby L.,Rush,"Rush, Bobby L.",,DEM,68585,79.70%,,,148170,80.36%,,,,
1479,Illinois,IL,1,H0IL01145,,JoAnne,Guillemette,"Guillemette, JoAnne",,DEM,8035,9.34%,,,,,,,,
1480,Illinois,IL,1,H0IL01137,,Fred,Smith,"Smith, Fred",,DEM,5203,6.05%,,,,,,,,
1481,Illinois,IL,1,H0IL01152,,Harold L.,Bailey,"Bailey, Harold L.",,DEM,4232,4.92%,,,,,,,,
1483,Illinois,IL,1,H0IL01111,,Raymond G.,Wardingley,"Wardingley, Raymond G.",,W(REP)/REP,18,100.00%,,,29253,15.87%,,,,
1485,Illinois,IL,1,H0IL01160,,Jeff,Adams,"Adams, Jeff",,GRE,201,100.00%,,,6963,3.78%,,,,
1489,Illinois,IL,2,H6IL02124,(I),"Jesse L., Jr.",Jackson,"Jackson, Jesse L., Jr.",,DEM,79962,100.00%,,,150666,80.52%,,,,
1491,Illinois,IL,2,H0IL02101,,Isaac C.,Hayes,"Hayes, Isaac C.",,REP,6632,100.00%,,,25883,13.83%,,,,
1493,Illinois,IL,2,H2IL02107,,Anthony W.,Williams,"Williams, Anthony W.",,GRE,128,59.81%,,,10564,5.65%,,,,
1494,Illinois,IL,2,H0IL02119,,Michael E.,Mayden,"Mayden, Michael E.",,GRE,86,40.19%,,,,,,,,
1498,Illinois,IL,3,H4IL03077,(I),Daniel William,Lipinski,"Lipinski, Daniel William",,DEM,57684,77.89%,,,116120,69.69%,,,,
1499,Illinois,IL,3,H0IL03067,,Jorge,Mujica,"Mujica, Jorge",,DEM,16372,22.11%,,,,,,,,
1501,Illinois,IL,3,H0IL03075,,Michael A.,Bendas,"Bendas, Michael A.",,REP,18520,100.00%,,,40479,24.29%,,,,
1503,Illinois,IL,3,H0IL03083,,Laurel Lambert,Schmidt,"Schmidt, Laurel Lambert",,GRE,286,100.00%,,,10028,6.02%,,,,
1507,Illinois,IL,4,H2IL08039,(I),Luis V.,Gutierrez,"Gutierrez, Luis V.",,DEM,34000,100.00%,,,63273,77.36%,,,,
1509,Illinois,IL,4,H0IL05112,,Israel,Vasquez,"Vasquez, Israel",,REP,n/a,,,,11711,14.32%,,,,
1510,Illinois,IL,4,H0IL04065,,Robert J.,Burns,"Burns, Robert J.",,GRE,319,100.00%,,,6808,8.32%,,,,
1514,Illinois,IL,5,H0IL05096,(I),Mike,Quigley,"Quigley, Mike",,DEM,56667,100.00%,,,108360,70.62%,,,,
1516,Illinois,IL,5,H0IL05328,,David,Ratowitz,"Ratowitz, David",,REP,5689,39.64%,,,38935,25.38%,,,,
1517,Illinois,IL,5,H0IL05260,,Rosanna,Pulido,"Pulido, Rosanna",,REP,4722,32.90%,,,,,,,,
1518,Illinois,IL,5,H0IL05310,,Ashvin,Lad,"Lad, Ashvin",,REP,3942,27.46%,,,,,,,,
1520,Illinois,IL,5,H8IL05099,,Matthew,Reichel,"Reichel, Matthew",,GRE,193,46.17%,,,6140,4.00%,,,,
1521,Illinois,IL,5,H0IL05344,,Andrew,Williams,"Williams, Andrew",,GRE,137,32.78%,,,,,,,,
1522,Illinois,IL,5,H0IL05336,,Terrence A.,Gilhooly,"Gilhooly, Terrence A.",,GRE,88,21.05%,,,,,,,,
1526,Illinois,IL,6,H6IL06117,(I),Peter J.,Roskam,"Roskam, Peter J.",,REP,53081,100.00%,,,114456,63.65%,,,,
1528,Illinois,IL,6,H0IL06045,,Benjamin S.,Lowe,"Lowe, Benjamin S.",,DEM,23542,100.00%,,,65379,36.35%,,,,
1532,Illinois,IL,7,H4IL07037,(I),Danny K.,Davis,"Davis, Danny K.",,DEM,52728,66.77%,,,149846,81.50%,,,,
1533,Illinois,IL,7,H0IL07118,,Sharon Denise,Dixon,"Dixon, Sharon Denise",,DEM,10851,13.74%,,,,,,,,
1534,Illinois,IL,7,H0IL07092,,Darlena,Williams-Burnett,"Williams-Burnett, Darlena",,DEM,10173,12.88%,,,,,,,,
1535,Illinois,IL,7,H6IL07263,,Jim,Ascot,"Ascot, Jim",,DEM,5221,6.61%,,,,,,,,
1537,Illinois,IL,7,H0IL07126,,Mark M.,Weiman,"Weiman, Mark M.",,REP,8365,100.00%,,,29575,16.09%,,,,
1539,Illinois,IL,7,H2IL07023,,Clarence Desmond,Clemons,"Clemons, Clarence Desmond",,IND,,,,,4428,2.41%,,,,
1540,Illinois,IL,7,H0IL07134,,Kip ,Robbins,"Robbins, Kip ",,GRE,226,100.00%,,,,,,,,
1544,Illinois,IL,8,H0IL08090,,Joe ,Walsh,"Walsh, Joe ",,REP,16162,34.16%,,,98115,48.47%,,,,
1545,Illinois,IL,8,H0IL08082,,Dirk W.,Beveridge,"Beveridge, Dirk W.",,REP,11708,24.75%,,,,,,,,
1546,Illinois,IL,8,H0IL08066,,Maria,Rodriguez,"Rodriguez, Maria",,REP,9803,20.72%,,,,,,,,
1547,Illinois,IL,8,H0IL08074,,Christopher,Geissler,"Geissler, Christopher",,REP,4267,9.02%,,,,,,,,
1548,Illinois,IL,8,H0IL08116,,John,Dawson,"Dawson, John",,REP,3921,8.29%,,,,,,,,
1549,Illinois,IL,8,H0IL08124,,Gregory S.,Jacobs,"Jacobs, Gregory S.",,REP,1445,3.05%,,,,,,,,
1551,Illinois,IL,8,H2IL08088,(I),Melissa,Bean,"Bean, Melissa",,DEM,25000,99.90%,,,97825,48.32%,,,,
1552,Illinois,IL,8,H0IL08132,,Jonathan,Farnick,"Farnick, Jonathan",,W(DEM),25,0.10%,,,,,,,,
1554,Illinois,IL,8,H4IL08092,,Bill,Scheurer,"Scheurer, Bill",,GRE,207,100.00%,,,6495,3.21%,,,,
1558,Illinois,IL,9,H8IL09067,(I),Janice D.,Schakowsky,"Schakowsky, Janice D.",,DEM,62763,100.00%,,,117553,66.34%,,,,
1560,Illinois,IL,9,H0IL09064,,Joel Barry,Pollak,"Pollak, Joel Barry",,REP,13566,100.00%,,,55182,31.14%,,,,
1562,Illinois,IL,9,H0IL05286,,Simon,Ribeiro,"Ribeiro, Simon",,GRE,191,56.51%,,,4472,2.52%,,,,
1563,Illinois,IL,9,H8IL09166,,"Morris ""Moe""",Shanfield,"Shanfield, Morris ""Moe""",,GRE,147,43.49%,,,,,,,,
1567,Illinois,IL,10,H0IL10302,,Robert,Dold,"Dold, Robert",,REP,19691,38.03%,,,109941,51.08%,,,,
1568,Illinois,IL,10,H0IL10294,,Elizabeth,Coulson,"Coulson, Elizabeth",,REP,16149,31.19%,,,,,,,,
1569,Illinois,IL,10,H0IL10260,,Dick,Green,"Green, Dick",,REP,7595,14.67%,,,,,,,,
1570,Illinois,IL,10,H0IL10336,,Arie,Friedman,"Friedman, Arie",,REP,7260,14.02%,,,,,,,,
1571,Illinois,IL,10,H0IL10310,,Paul,Hamann,"Hamann, Paul",,REP,1078,2.08%,,,,,,,,
1573,Illinois,IL,10,H6IL10119,,Daniel J.,Seals,"Seals, Daniel J.",,DEM,25490,48.22%,,,105290,48.92%,,,,
1574,Illinois,IL,10,H0IL10278,,Julie,Hamos,"Hamos, Julie",,DEM,24531,46.41%,,,,,,,,
1575,Illinois,IL,10,H0IL10245,,Elliot,Richardson,"Richardson, Elliot",,DEM,2838,5.37%,,,,,,,,
1577,Illinois,IL,10,H0IL10344,,Author C.,Brumfield,"Brumfield, Author C.",,W,,,,,1,0.00%,,,,
1580,Illinois,IL,11,H0IL11052,,Adam,Kinzinger,"Kinzinger, Adam",,REP,32233,63.67%,,,129108,57.35%,,,,
1581,Illinois,IL,11,H0IL11094 ,,Dave,White,"White, Dave",,REP,5257,10.38%,,,,,,,,
1582,Illinois,IL,11,H0IL11078,,David,McAloon,"McAloon, David",,REP,4880,9.64%,,,,,,,,
1583,Illinois,IL,11,H0IL11060,,"Henry W., Jr.",Meers,"Meers, Henry W., Jr.",,REP,4555,9.00%,,,,,,,,
1584,Illinois,IL,11,H0IL11086,,Darrel,Miller,"Miller, Darrel",,REP,3701,7.31%,,,,,,,,
1586,Illinois,IL,11,H8IL11113,(I),"Deborah ""Debbie""",Halvorson,"Halvorson, Deborah ""Debbie""",,DEM,29015,100.00%,,,96019,42.65%,,,,
1590,Illinois,IL,12,H8IL21021,(I),Jerry F.,Costello,"Costello, Jerry F.",,DEM,44913,100.00%,,,121272,59.83%,,,,
1592,Illinois,IL,12,H0IL12084 ,,Teri,Newman,"Newman, Teri",,REP,14995,52.60%,,,74046,36.53%,,,,
1593,Illinois,IL,12,H0IL12076 ,,Theresa,Kormos,"Kormos, Theresa",,REP,13510,47.40%,,,,,,,,
1595,Illinois,IL,12,H8IL12079,,Rodger W.,Jennings,"Jennings, Rodger W.",,GRE,353,100.00%,,,7387,3.64%,,,,
1599,Illinois,IL,13,H8IL13069,(I),Judy,Biggert,"Biggert, Judy",,REP,58294,100.00%,,,152132,63.81%,,,,
1601,Illinois,IL,13,H8IL13119,,Scott,Harper,"Harper, Scott",,DEM,33290,100.00%,,,86281,36.19%,,,,
1605,Illinois,IL,14,H0IL14080,,"Randall M. ""Randy""",Hultgren,"Hultgren, Randall M. ""Randy""",,REP,34833,54.71%,,,112369,51.31%,,,,
1606,Illinois,IL,14,H0IL14056,,Ethan A.,Hastert,"Hastert, Ethan A.",,REP,28840,45.29%,,,,,,,,
1608,Illinois,IL,14,H8IL14067,(I),Bill,Foster,"Foster, Bill",,DEM,25446,100.00%,,,98645,45.04%,,,,
1609,Illinois,IL,14,H0IL14122,,Bobby G. ,Rose,"Rose, Bobby G. ",,W(DEM),1,0.00%,,,,,,,,
1611,Illinois,IL,14,H0IL14114 ,,Daniel J.,Kairis,"Kairis, Daniel J.",,GRE,268,100.00%,,,7949,3.63%,,,,
1613,Illinois,IL,14,H0IL14130,,Doug,Marks,"Marks, Doug",,W,,,,,50,0.02%,,,,
1616,Illinois,IL,15,H0IL15053,(I),Timothy V.,Johnson,"Johnson, Timothy V.",,REP,68621,100.00%,,,136915,64.32%,,,,
1618,Illinois,IL,15,H4IL15055,,David,Gill,"Gill, David",,DEM,21617,100.00%,,,75948,35.68%,,,,
1622,Illinois,IL,16,H0IL16085,(I),Donald A.,Manzullo,"Manzullo, Donald A.",,REP,54060,100.00%,,,138299,65.00%,,,,
1624,Illinois,IL,16,H0IL16168,,George W.,Gaulrapp,"Gaulrapp, George W.",,DEM,18021,100.00%,,,66037,31.04%,,,,
1626,Illinois,IL,16,H0IL16176 ,,Terry G.,Campbell,"Campbell, Terry G.",,GRE,295,100.00%,,,8425,3.96%,,,,
1630,Illinois,IL,17,H0IL17059,,Bobby,Schilling,"Schilling, Bobby",,REP,33659,100.00%,,,104583,52.58%,,,,
1632,Illinois,IL,17,H6IL17155,(I),Phil,Hare,"Hare, Phil",,DEM,34427,100.00%,,,85454,42.96%,,,,
1634,Illinois,IL,17,H0IL17067 ,,Roger K.,Davis,"Davis, Roger K.",,GRE,219,100.00%,,,8861,4.46%,,,,
1638,Illinois,IL,18,H8IL18043,(I),Aaron,Schock,"Schock, Aaron",,REP,60653,100.00%,,,152868,69.12%,,,,
1640,Illinois,IL,18,H0IL18057,,"Deirdre ""DK""",Hirner,"Hirner, Deirdre ""DK""",,DEM,13683,54.19%,,,57046,25.79%,,,,
1641,Illinois,IL,18,H0IL18040,,Carl,Ray,"Ray, Carl",,DEM,11566,45.81%,,,,,,,,
1643,Illinois,IL,18,H8IL18084,,Sheldon,Schafer,"Schafer, Sheldon",,GRE,258,100.00%,,,11256,5.09%,,,,
1647,Illinois,IL,19,H2IL20042,(I),John M.,Shimkus,"Shimkus, John M.",,REP,48680,85.34%,,,166166,71.22%,,,,
1648,Illinois,IL,19,H0IL19048,,Michael,Firsching,"Firsching, Michael",,REP,8363,14.66%,,,,,,,,
1650,Illinois,IL,19,H4IL19073,,Tim,Bagwell,"Bagwell, Tim",,DEM,30999,100.00%,,,67132,28.78%,,,,
1700,Indiana,IN,1,H4IN01012,(I),Peter J. ,Visclosky,"Visclosky, Peter J. ",,DEM,41982,100.00%,,,99387,58.56%,,,,
1702,Indiana,IN,1,H8IN01096,,Mark,Leyva,"Leyva, Mark",,REP,6385,24.66%,,,65558,38.63%,,,,
1703,Indiana,IN,1,H0IN01085,,"Peter, III",Lindemulder,"Lindemulder, Peter, III",,REP,5783,22.34%,,,,,,,,
1704,Indiana,IN,1,H0IN01093,,Eric L. ,Olson,"Olson, Eric L. ",,REP,3482,13.45%,,,,,,,,
1705,Indiana,IN,1,H0IN01077,,Robert,Pastore,"Pastore, Robert",,REP,3469,13.40%,,,,,,,,
1706,Indiana,IN,1,H0IN01101,,Adam A.,Dombkowski,"Dombkowski, Adam A.",,REP,3320,12.82%,,,,,,,,
1707,Indiana,IN,1,H6IN01173,,Ric ,Holtz,"Holtz, Ric ",,REP,1505,5.81%,,,,,,,,
1708,Indiana,IN,1,H6IN01157,,Jayson,Reeves,"Reeves, Jayson",,REP,1194,4.61%,,,,,,,,
1709,Indiana,IN,1,H6IN01124,,Michael,Petyo,"Petyo, Michael",,REP,754,2.91%,,,,,,,,
1711,Indiana,IN,1,H0IN01119 ,,Jon ,Morris,"Morris, Jon ",,LIB,*,,,,4762,2.81%,,,"*  The Libertarian Party nominated by convention on April 24, 2010.  Convention nominees are noted with an asterisk.",
1714,Indiana,IN,2,H4IN02101,(I),Joe,Donnelly,"Donnelly, Joe",,DEM,26659,100.00%,,,91341,48.18%,,,,
1716,Indiana,IN,2,H0IN02190,,Jackie  ,Walorski,"Walorski, Jackie  ",,REP,29118,60.83%,,,88803,46.84%,,,,
1717,Indiana,IN,2,H0IN02208,,Jack Edward,Jordan,"Jordan, Jack Edward",,REP,13576,28.36%,,,,,,,,
1718,Indiana,IN,2,H0IN02224 ,,Martin A.,Dolan,"Dolan, Martin A.",,REP,3762,7.86%,,,,,,,,
1719,Indiana,IN,2,H4IN02119,,Tony Hvfvgpd,Zirkle,"Zirkle, Tony Hvfvgpd",,REP,1415,2.96%,,,,,,,,
1721,Indiana,IN,2,H8IN02136,,Mark ,Vogel,"Vogel, Mark ",,LIB,*,,,,9447,4.98%,,,"*  The Libertarian Party nominated by convention on April 24, 2010.  Convention nominees are noted with an asterisk.",
1724,Indiana,IN,3,H0IN03198,,Marlin A. ,Stutzman,"Stutzman, Marlin A. #",,REP,#,,,,116140,62.76%,,,"#  Mark Souder withdrew after the primary election and Marlin Stutzman was nominated by the Republican Party at a caucus on June 12, 2010.",
1725,Indiana,IN,3,H4IN04099,(I),Mark Edward,Souder,"Souder, Mark Edward #",,REP,38441,47.76%,,,,,,,"#  Mark Souder withdrew after the primary election and Marlin Stutzman was nominated by the Republican Party at a caucus on June 12, 2010.",
1726,Indiana,IN,3,H0IN03164,,Bob,Thomas,"Thomas, Bob",,REP,27068,33.63%,,,,,,,,
1727,Indiana,IN,3,H0IN03149,,Phillip J. (Phil),Troyer,"Troyer, Phillip J. (Phil)",,REP,12851,15.97%,,,,,,,,
1728,Indiana,IN,3,H0IN03156,,Gregory (Greg),Dickman,"Dickman, Gregory (Greg)",,REP,2127,2.64%,,,,,,,,
1730,Indiana,IN,3,H6IN03161,,Thomas,Hayhurst,"Hayhurst, Thomas",,DEM,8759,79.84%,,,61267,33.11%,,,,
1731,Indiana,IN,3,H0IN02232,,Thomas Allen,Schrader,"Schrader, Thomas Allen",,DEM,2212,20.16%,,,,,,,,
1733,Indiana,IN,3,H8IN03068,,Scott ,Wise,"Wise, Scott ",,LIB,*,,,,7631,4.12%,,,"*  The Libertarian Party nominated by convention on April 24, 2010.  Convention nominees are noted with an asterisk.",
1734,Indiana,IN,3,H0IN03206 ,,Tom,Metzger,"Metzger, Tom",,W,,,,,10,0.01%,,,,
1735,Indiana,IN,3,H0IN03214,,Wes,Stephens,"Stephens, Wes",,W,,,,,1,0.00%,,,,
1737,Indiana,IN,3,n/a,,,,,,,,,,,,,,,,
1744,Indiana,IN,4,H0IN04170,,Todd,Rokita,"Rokita, Todd",,REP,36411,42.36%,,,138732,68.57%,,,,
1745,Indiana,IN,4,H0IN04204,,Brandt,Hershman,"Hershman, Brandt",,REP,14712,17.12%,,,,,,,,
1746,Indiana,IN,4,H2IN04077,,R. Michael ,Young,"Young, R. Michael ",,REP,6991,8.13%,,,,,,,,
